blue1,blue2,blue3,blue4,blue5,red1,red2,red3,red4,red5,result,league,atakhans,opp_atakhans,golddiffat25,golddiffat20,golddiffat15,golddiffat10,firstmidtower,firstherald,dragons,opp_dragons,void_grubs,opp_void_grubs
Rumble,Vi,Ahri,Lucian,Braum,Ezreal,Xin Zhao,Ambessa,Alistar,Annie,1,LCP,1.0,0.0,7314.0,4541.0,1393.0,355.0,1.0,1.0,3.0,1.0,1.0,2.0
Viktor,Trundle,Sion,Ezreal,Braum,Orianna,Nocturne,Nidalee,Lucian,Bard,0,LCK,0.0,1.0,-1133.0,-104.0,-692.0,198.0,1.0,1.0,4.0,3.0,3.0,0.0
Sion,Xayah,Rakan,Aurora,Viego,Cho'Gath,Taliyah,Nocturne,Lulu,Kog'Maw,0,LCP,1.0,0.0,-3925.0,-1471.0,751.0,-1374.0,0.0,0.0,3.0,2.0,2.0,1.0
Yorick,Senna,Nautilus,Hwei,Wukong,Renekton,Azir,Sejuani,Varus,Renata Glasc,0,LCP,0.0,1.0,-4881.0,-4022.0,-1765.0,-479.0,0.0,0.0,0.0,4.0,2.0,1.0
Gwen,Skarner,Viktor,Ashe,Alistar,Corki,Maokai,Aurora,Jhin,Rell,1,LCP,1.0,0.0,2377.0,2860.0,715.0,1648.0,1.0,1.0,4.0,0.0,3.0,0.0
Taliyah,Xin Zhao,Ambessa,Kai'Sa,Neeko,Sion,Ezreal,Karma,Viego,Leona,1,LCP,1.0,0.0,1536.0,2663.0,1938.0,-470.0,1.0,1.0,4.0,1.0,2.0,1.0
Azir,Vi,Rumble,Corki,Rell,Varus,Akali,Ornn,Xin Zhao,Alistar,1,LEC,1.0,0.0,6288.0,3595.0,1209.0,231.0,1.0,1.0,3.0,2.0,1.0,2.0
Senna,Wukong,Nautilus,Ahri,Gnar,Taliyah,Pantheon,Renata Glasc,Zeri,Yorick,1,LEC,1.0,0.0,2522.0,-727.0,-117.0,236.0,0.0,1.0,2.0,1.0,0.0,3.0
Gwen,Ezreal,Neeko,Galio,Nocturne,Vi,Rumble,Rell,Jhin,Viktor,1,LTA S,0.0,1.0,1982.0,-296.0,-1103.0,-1027.0,1.0,1.0,3.0,2.0,3.0,0.0
Kalista,Gwen,Taric,Skarner,Hwei,Xayah,Poppy,Jax,Rakan,Annie,0,LEC,1.0,0.0,4590.0,2683.0,2708.0,1396.0,1.0,1.0,3.0,2.0,3.0,0.0
Lucian,Milio,Azir,Skarner,Renekton,Nami,Corki,Xin Zhao,Annie,Gnar,1,LTA S,1.0,0.0,-29.0,275.0,1645.0,267.0,1.0,1.0,3.0,3.0,1.0,2.0
Neeko,Tristana,Sejuani,Orianna,Camille,Kai'Sa,Leona,Ambessa,Trundle,Galio,0,LEC,0.0,1.0,729.0,1031.0,433.0,-933.0,1.0,1.0,2.0,3.0,0.0,3.0
Caitlyn,Lillia,Jayce,K'Sante,Alistar,Sejuani,Jinx,Nautilus,Aatrox,Syndra,1,LTA S,1.0,0.0,9998.0,8179.0,3957.0,1605.0,1.0,0.0,3.0,1.0,3.0,0.0
Taliyah,Poppy,Ashe,Olaf,Seraphine,Kalista,Ahri,Maokai,Yorick,Blitzcrank,0,LTA S,0.0,1.0,2353.0,2664.0,1122.0,1187.0,1.0,1.0,4.0,2.0,3.0,0.0
Varus,Pantheon,Galio,Ornn,Alistar,Rumble,Naafiri,Jhin,Annie,Braum,1,LTA N,1.0,0.0,4693.0,3907.0,980.0,-126.0,1.0,1.0,4.0,0.0,1.0,2.0
Azir,Skarner,Ezreal,Leona,Yorick,Taliyah,Xin Zhao,Senna,Rell,Mordekaiser,0,LTA N,1.0,0.0,4322.0,1195.0,1598.0,-1328.0,1.0,1.0,4.0,4.0,3.0,0.0
Sion,Xayah,Rakan,Orianna,Dr. Mundo,Renekton,Sejuani,Hwei,Lucian,Nami,0,LTA N,1.0,0.0,-756.0,475.0,1614.0,-499.0,0.0,1.0,3.0,4.0,0.0,3.0
Rumble,Wukong,Taliyah,Jhin,Rell,Azir,Sejuani,Jayce,Varus,Nautilus,1,LCK,1.0,0.0,5466.0,2931.0,2669.0,540.0,1.0,1.0,4.0,1.0,0.0,3.0
