pick1,pick2,pick3,pick4,pick5,result,poke_avg,cc_avg,mobilidade_avg,tipo_predito
Lucian,Nami,Ornn,Poppy,Sylas,0,0.43999999999999995,0.8,0.8019999999999999,PEEL
Jayce,Sejuani,Mel,Renekton,Leona,0,0.454,0.8,0.7799999999999999, PEEL
Varus,Ahri,Ambessa,Wukong,Rell,1,0.51,0.8,0.82,PEEL
Rumble,Yone,Sejuani,Xayah,Rakan,1,0.514,0.6,0.8299999999999998,PEEL
Xin Zhao,Jhin,Gwen,Akali,Nautilus,0,0.48200000000000004,0.6,0.7979999999999999, PEEL
Xin Zhao,Taliyah,Miss Fortune,K'Sante,Elise,0,0.484,0.6,0.8019999999999999,PEEL
Ahri,Naafiri,Nidalee,Ezreal,Karma,1,0.6359999999999999,0.4,0.8620000000000001, POKE
Xin Zhao,Jhin,Hwei,Aatrox,Blitzcrank,0,0.48,0.8,0.8119999999999999,PEEL
Miss Fortune,Trundle,Nautilus,Viktor,Yone,1,0.484,0.6,0.78, PEEL
Varus,Ivern,Viktor,Yorick,Braum,1,0.492,0.8,0.7659999999999999, SIEGE
Ryze,Pantheon,Ambessa,Rell,Senna,0,0.514,0.8,0.784, POKE
Azir,Wukong,Rumble,Ezreal,Alistar,0,0.598,0.8,0.8200000000000001,PEEL
Naafiri,Ahri,Galio,Corki,Braum,1,0.488,0.6,0.8059999999999998,PEEL
Corki,Wukong,Orianna,Rell,Sion,1,0.45599999999999996,0.8,0.78, PEEL
Pantheon,Jhin,Hwei,Nautilus,Sett,0,0.45,0.6,0.796, PEEL
Taliyah,Sion,Naafiri,Caitlyn,Karma,0,0.58,0.4,0.7959999999999999,MAPA
Zoe,Wukong,Aatrox,Lucian,Nami,1,0.532,0.6,0.852,FLEX
Pantheon,Taliyah,Tristana,Ambessa,Neeko,0,0.578,0.4,0.806,MAPA
Xin Zhao,Syndra,Cho'Gath,Xayah,Rakan,1,0.526,0.8,0.8240000000000001,PEEL
Pantheon,Annie,Yorick,Rakan,Kai'Sa,0,0.508,0.6,0.8059999999999998, POKE
Azir,Xin Zhao,Mordekaiser,Braum,Lucian,1,0.53,0.8,0.8019999999999999, POKE
Neeko,Skarner,Ahri,Ambessa,Ezreal,1,0.578,0.8,0.8139999999999998,PEEL
Orianna,Nocturne,Leona,Aatrox,Sivir,0,0.49799999999999994,0.6,0.8039999999999999, POKE
Yone,Lillia,Nautilus,Miss Fortune,Ambessa,1,0.476,0.6,0.8140000000000001,PEEL
Lucian,Sejuani,Milio,Sylas,Renekton,0,0.48,0.8,0.8320000000000001,FLEX
Varus,Annie,Naafiri,Sion,Leona,0,0.466,0.6,0.7619999999999999, SIEGE
Xin Zhao,Taliyah,Rell,Ezreal,Shen,1,0.466,0.6,0.8039999999999999,PEEL
Naafiri,Jhin,Rumble,Nautilus,Aurora,1,0.55,0.6,0.776, POKE
